Epoch,MAE,RMSE
0,tensor(150.4160),tensor(200.1308)
1,tensor(105.2551),tensor(133.9558)
2,tensor(37.9120),tensor(51.6082)
3,tensor(52.5752),tensor(66.3069)
4,tensor(34.3565),tensor(52.7153)
5,tensor(46.0582),tensor(67.3574)
6,tensor(28.3585),tensor(40.1105)
7,tensor(38.3538),tensor(58.3900)
8,tensor(73.2253),tensor(107.4029)
9,tensor(104.3935),tensor(116.5242)
10,tensor(61.9451),tensor(77.2529)
11,tensor(47.6653),tensor(69.9681)
12,tensor(54.0095),tensor(77.9902)
13,tensor(37.1215),tensor(54.7127)
14,tensor(60.6245),tensor(69.0932)
15,tensor(28.3420),tensor(34.3129)
16,tensor(80.4102),tensor(103.1404)
17,tensor(47.4489),tensor(68.2708)
18,tensor(33.1023),tensor(48.4143)
19,tensor(151.3480),tensor(159.5740)
20,tensor(16.2615),tensor(21.9212)
21,tensor(15.2147),tensor(25.1516)
22,tensor(40.3598),tensor(47.2120)
23,tensor(29.8756),tensor(39.5325)
24,tensor(23.5483),tensor(27.5258)
25,tensor(29.1714),tensor(36.4516)
26,tensor(78.3753),tensor(84.7918)
27,tensor(17.1994),tensor(24.0309)
28,tensor(166.2082),tensor(179.5363)
29,tensor(78.2324),tensor(94.9360)
30,tensor(38.9673),tensor(52.8012)
31,tensor(36.5644),tensor(48.4842)
32,tensor(42.3692),tensor(63.1064)
33,tensor(32.5827),tensor(42.8430)
34,tensor(26.9064),tensor(37.7372)
35,tensor(32.1559),tensor(40.3056)
36,tensor(17.0534),tensor(23.2877)
37,tensor(34.2566),tensor(41.7013)
38,tensor(26.5548),tensor(38.7763)
39,tensor(11.6056),tensor(16.9741)
40,tensor(45.7359),tensor(68.0102)
41,tensor(69.6485),tensor(87.4961)
42,tensor(13.0765),tensor(19.1402)
43,tensor(10.8317),tensor(15.4294)
44,tensor(32.8145),tensor(45.9064)
45,tensor(45.3881),tensor(61.6215)
46,tensor(28.9890),tensor(47.8665)
47,tensor(52.9233),tensor(65.9550)
48,tensor(21.0974),tensor(27.4459)
49,tensor(17.2000),tensor(22.0609)
50,tensor(37.0593),tensor(41.7542)
51,tensor(19.3705),tensor(24.3624)
52,tensor(15.8899),tensor(24.8734)
53,tensor(21.8552),tensor(29.7374)
54,tensor(17.8667),tensor(21.4387)
55,tensor(25.0760),tensor(35.2018)
56,tensor(20.1539),tensor(34.0179)
57,tensor(22.8547),tensor(27.8332)
58,tensor(27.2319),tensor(31.3598)
59,tensor(35.2208),tensor(42.8555)
60,tensor(52.4620),tensor(69.6074)
61,tensor(17.6925),tensor(23.0142)
62,tensor(32.3222),tensor(41.2619)
63,tensor(54.9537),tensor(63.8792)
64,tensor(24.4249),tensor(34.3376)
65,tensor(23.7810),tensor(31.6699)
66,tensor(18.2043),tensor(25.0153)
67,tensor(19.8634),tensor(25.3959)
68,tensor(16.6750),tensor(25.6868)
69,tensor(15.0551),tensor(18.8075)
70,tensor(12.6079),tensor(17.1246)
71,tensor(13.1598),tensor(19.2729)
72,tensor(24.6000),tensor(27.3899)
73,tensor(15.2129),tensor(20.2470)
74,tensor(18.0617),tensor(25.3161)
75,tensor(12.4250),tensor(19.9530)
76,tensor(32.6154),tensor(57.3525)
77,tensor(11.6780),tensor(16.7789)
78,tensor(28.0900),tensor(37.5721)
79,tensor(39.0878),tensor(42.5274)
80,tensor(19.1368),tensor(23.8051)
81,tensor(18.4272),tensor(25.4238)
82,tensor(25.3748),tensor(31.9367)
83,tensor(10.6163),tensor(15.9339)
84,tensor(13.6970),tensor(16.8488)
85,tensor(15.4173),tensor(19.6690)
86,tensor(12.4259),tensor(18.2105)
87,tensor(11.5531),tensor(18.1750)
88,tensor(43.1167),tensor(60.3943)
89,tensor(28.0488),tensor(30.9745)
90,tensor(15.8902),tensor(18.5421)
91,tensor(16.6432),tensor(22.9283)
92,tensor(12.9926),tensor(20.9452)
93,tensor(22.9771),tensor(36.6988)
94,tensor(15.1876),tensor(25.5925)
95,tensor(21.6913),tensor(24.8817)
96,tensor(9.4209),tensor(15.1534)
