Epoch,MAE,RMSE
0,"tensor(22.7865, dtype=torch.float64)","tensor(38.4390, dtype=torch.float64)"
1,"tensor(63.8188, dtype=torch.float64)","tensor(97.6032, dtype=torch.float64)"
2,"tensor(47.7216, dtype=torch.float64)","tensor(53.0779, dtype=torch.float64)"
3,"tensor(45.5804, dtype=torch.float64)","tensor(51.5384, dtype=torch.float64)"
4,"tensor(26.5462, dtype=torch.float64)","tensor(40.2374, dtype=torch.float64)"
5,"tensor(56.1253, dtype=torch.float64)","tensor(66.9919, dtype=torch.float64)"
6,"tensor(39.2036, dtype=torch.float64)","tensor(62.8752, dtype=torch.float64)"
7,"tensor(39.4270, dtype=torch.float64)","tensor(43.6791, dtype=torch.float64)"
8,"tensor(34.7821, dtype=torch.float64)","tensor(48.3891, dtype=torch.float64)"
9,"tensor(34.0367, dtype=torch.float64)","tensor(38.5248, dtype=torch.float64)"
10,"tensor(44.4867, dtype=torch.float64)","tensor(72.9637, dtype=torch.float64)"
11,"tensor(20.0993, dtype=torch.float64)","tensor(26.5634, dtype=torch.float64)"
12,"tensor(30.2217, dtype=torch.float64)","tensor(36.9854, dtype=torch.float64)"
13,"tensor(29.9656, dtype=torch.float64)","tensor(36.5152, dtype=torch.float64)"
14,"tensor(34.6956, dtype=torch.float64)","tensor(53.3940, dtype=torch.float64)"
15,"tensor(23.1720, dtype=torch.float64)","tensor(35.7645, dtype=torch.float64)"
16,"tensor(24.0201, dtype=torch.float64)","tensor(31.2935, dtype=torch.float64)"
17,"tensor(25.6391, dtype=torch.float64)","tensor(31.5999, dtype=torch.float64)"
18,"tensor(35.4915, dtype=torch.float64)","tensor(38.5938, dtype=torch.float64)"
19,"tensor(26.5484, dtype=torch.float64)","tensor(30.3838, dtype=torch.float64)"
20,"tensor(71.3119, dtype=torch.float64)","tensor(93.3214, dtype=torch.float64)"
21,"tensor(15.4204, dtype=torch.float64)","tensor(22.6051, dtype=torch.float64)"
22,"tensor(45.4784, dtype=torch.float64)","tensor(54.1505, dtype=torch.float64)"
23,"tensor(22.2607, dtype=torch.float64)","tensor(27.2028, dtype=torch.float64)"
24,"tensor(18.5133, dtype=torch.float64)","tensor(26.3190, dtype=torch.float64)"
25,"tensor(30.1706, dtype=torch.float64)","tensor(46.6160, dtype=torch.float64)"
26,"tensor(20.4153, dtype=torch.float64)","tensor(31.9091, dtype=torch.float64)"
27,"tensor(26.6751, dtype=torch.float64)","tensor(37.9186, dtype=torch.float64)"
28,"tensor(23.2251, dtype=torch.float64)","tensor(37.6728, dtype=torch.float64)"
29,"tensor(21.1418, dtype=torch.float64)","tensor(25.8388, dtype=torch.float64)"
30,"tensor(80.6075, dtype=torch.float64)","tensor(104.1038, dtype=torch.float64)"
31,"tensor(14.8442, dtype=torch.float64)","tensor(26.3298, dtype=torch.float64)"
32,"tensor(45.3321, dtype=torch.float64)","tensor(50.8823, dtype=torch.float64)"
33,"tensor(62.6885, dtype=torch.float64)","tensor(83.4013, dtype=torch.float64)"
34,"tensor(37.9084, dtype=torch.float64)","tensor(52.1302, dtype=torch.float64)"
35,"tensor(64.0144, dtype=torch.float64)","tensor(76.9280, dtype=torch.float64)"
36,"tensor(33.8795, dtype=torch.float64)","tensor(53.4240, dtype=torch.float64)"
37,"tensor(16.7244, dtype=torch.float64)","tensor(23.9854, dtype=torch.float64)"
38,"tensor(57.1330, dtype=torch.float64)","tensor(79.9013, dtype=torch.float64)"
39,"tensor(10.8803, dtype=torch.float64)","tensor(16.3345, dtype=torch.float64)"
40,"tensor(75.7694, dtype=torch.float64)","tensor(95.3903, dtype=torch.float64)"
41,"tensor(12.6269, dtype=torch.float64)","tensor(20.1577, dtype=torch.float64)"
42,"tensor(63.2239, dtype=torch.float64)","tensor(78.3970, dtype=torch.float64)"
43,"tensor(19.1954, dtype=torch.float64)","tensor(26.5299, dtype=torch.float64)"
44,"tensor(20.8987, dtype=torch.float64)","tensor(33.3422, dtype=torch.float64)"
45,"tensor(19.8747, dtype=torch.float64)","tensor(27.7154, dtype=torch.float64)"
46,"tensor(26.6783, dtype=torch.float64)","tensor(33.7702, dtype=torch.float64)"
47,"tensor(33.6099, dtype=torch.float64)","tensor(38.6595, dtype=torch.float64)"
48,"tensor(19.0921, dtype=torch.float64)","tensor(22.6333, dtype=torch.float64)"
49,"tensor(19.4347, dtype=torch.float64)","tensor(22.6977, dtype=torch.float64)"
50,"tensor(9.5883, dtype=torch.float64)","tensor(13.8033, dtype=torch.float64)"
51,"tensor(22.9255, dtype=torch.float64)","tensor(27.7142, dtype=torch.float64)"
52,"tensor(13.6355, dtype=torch.float64)","tensor(20.5658, dtype=torch.float64)"
53,"tensor(10.3304, dtype=torch.float64)","tensor(15.8562, dtype=torch.float64)"
54,"tensor(36.8754, dtype=torch.float64)","tensor(45.9282, dtype=torch.float64)"
55,"tensor(38.4466, dtype=torch.float64)","tensor(46.8476, dtype=torch.float64)"
56,"tensor(17.9773, dtype=torch.float64)","tensor(27.2704, dtype=torch.float64)"
57,"tensor(14.2252, dtype=torch.float64)","tensor(20.8092, dtype=torch.float64)"
58,"tensor(23.5910, dtype=torch.float64)","tensor(28.5567, dtype=torch.float64)"
59,"tensor(32.3865, dtype=torch.float64)","tensor(55.9123, dtype=torch.float64)"
60,"tensor(20.9994, dtype=torch.float64)","tensor(31.2590, dtype=torch.float64)"
61,"tensor(18.8392, dtype=torch.float64)","tensor(25.3306, dtype=torch.float64)"
62,"tensor(12.9892, dtype=torch.float64)","tensor(17.4075, dtype=torch.float64)"
63,"tensor(32.7855, dtype=torch.float64)","tensor(46.0111, dtype=torch.float64)"
64,"tensor(9.0717, dtype=torch.float64)","tensor(13.4041, dtype=torch.float64)"
65,"tensor(13.2255, dtype=torch.float64)","tensor(15.9831, dtype=torch.float64)"
66,"tensor(34.8273, dtype=torch.float64)","tensor(38.9561, dtype=torch.float64)"
67,"tensor(18.1297, dtype=torch.float64)","tensor(21.6711, dtype=torch.float64)"
68,"tensor(12.3927, dtype=torch.float64)","tensor(16.3724, dtype=torch.float64)"
69,"tensor(11.6920, dtype=torch.float64)","tensor(15.3607, dtype=torch.float64)"
70,"tensor(30.1519, dtype=torch.float64)","tensor(35.0834, dtype=torch.float64)"
71,"tensor(23.1425, dtype=torch.float64)","tensor(26.8237, dtype=torch.float64)"
72,"tensor(9.5718, dtype=torch.float64)","tensor(13.1473, dtype=torch.float64)"
73,"tensor(18.9382, dtype=torch.float64)","tensor(30.3469, dtype=torch.float64)"
74,"tensor(21.9310, dtype=torch.float64)","tensor(28.8363, dtype=torch.float64)"
75,"tensor(11.8968, dtype=torch.float64)","tensor(16.6476, dtype=torch.float64)"
76,"tensor(16.6771, dtype=torch.float64)","tensor(24.3480, dtype=torch.float64)"
77,"tensor(10.5951, dtype=torch.float64)","tensor(17.0896, dtype=torch.float64)"
78,"tensor(19.5249, dtype=torch.float64)","tensor(25.8895, dtype=torch.float64)"
79,"tensor(14.5362, dtype=torch.float64)","tensor(25.3942, dtype=torch.float64)"
80,"tensor(25.4467, dtype=torch.float64)","tensor(29.1525, dtype=torch.float64)"
81,"tensor(20.8692, dtype=torch.float64)","tensor(28.0848, dtype=torch.float64)"
82,"tensor(32.6779, dtype=torch.float64)","tensor(44.4504, dtype=torch.float64)"
83,"tensor(36.9052, dtype=torch.float64)","tensor(50.7520, dtype=torch.float64)"
84,"tensor(10.3821, dtype=torch.float64)","tensor(14.9401, dtype=torch.float64)"
85,"tensor(16.3555, dtype=torch.float64)","tensor(20.6931, dtype=torch.float64)"
86,"tensor(29.0924, dtype=torch.float64)","tensor(44.2680, dtype=torch.float64)"
87,"tensor(13.3234, dtype=torch.float64)","tensor(20.9884, dtype=torch.float64)"
88,"tensor(9.8753, dtype=torch.float64)","tensor(15.9111, dtype=torch.float64)"
89,"tensor(11.8866, dtype=torch.float64)","tensor(18.7447, dtype=torch.float64)"
90,"tensor(13.2422, dtype=torch.float64)","tensor(18.2639, dtype=torch.float64)"
91,"tensor(17.0432, dtype=torch.float64)","tensor(26.2138, dtype=torch.float64)"
92,"tensor(17.9058, dtype=torch.float64)","tensor(20.9861, dtype=torch.float64)"
93,"tensor(15.6863, dtype=torch.float64)","tensor(21.0449, dtype=torch.float64)"
94,"tensor(34.0004, dtype=torch.float64)","tensor(53.0823, dtype=torch.float64)"
95,"tensor(17.0476, dtype=torch.float64)","tensor(23.8394, dtype=torch.float64)"
96,"tensor(25.5747, dtype=torch.float64)","tensor(34.9841, dtype=torch.float64)"
97,"tensor(17.2951, dtype=torch.float64)","tensor(20.9745, dtype=torch.float64)"
98,"tensor(12.9652, dtype=torch.float64)","tensor(16.2320, dtype=torch.float64)"
99,"tensor(23.5548, dtype=torch.float64)","tensor(25.9134, dtype=torch.float64)"
100,"tensor(45.8564, dtype=torch.float64)","tensor(51.9826, dtype=torch.float64)"
101,"tensor(25.1696, dtype=torch.float64)","tensor(27.5926, dtype=torch.float64)"
102,"tensor(15.4023, dtype=torch.float64)","tensor(22.1358, dtype=torch.float64)"
103,"tensor(9.2434, dtype=torch.float64)","tensor(13.8456, dtype=torch.float64)"
104,"tensor(25.1070, dtype=torch.float64)","tensor(30.6796, dtype=torch.float64)"
105,"tensor(13.4392, dtype=torch.float64)","tensor(19.0624, dtype=torch.float64)"
106,"tensor(16.8152, dtype=torch.float64)","tensor(23.4877, dtype=torch.float64)"
107,"tensor(17.7417, dtype=torch.float64)","tensor(21.7947, dtype=torch.float64)"
108,"tensor(17.6630, dtype=torch.float64)","tensor(22.7656, dtype=torch.float64)"
109,"tensor(8.8278, dtype=torch.float64)","tensor(14.9313, dtype=torch.float64)"
110,"tensor(12.1467, dtype=torch.float64)","tensor(16.4916, dtype=torch.float64)"
111,"tensor(9.2211, dtype=torch.float64)","tensor(14.7734, dtype=torch.float64)"
112,"tensor(10.4641, dtype=torch.float64)","tensor(15.9058, dtype=torch.float64)"
113,"tensor(12.0485, dtype=torch.float64)","tensor(17.8589, dtype=torch.float64)"
114,"tensor(19.3626, dtype=torch.float64)","tensor(23.7477, dtype=torch.float64)"
115,"tensor(27.6583, dtype=torch.float64)","tensor(30.2048, dtype=torch.float64)"
116,"tensor(46.6630, dtype=torch.float64)","tensor(51.5283, dtype=torch.float64)"
117,"tensor(17.7488, dtype=torch.float64)","tensor(24.1880, dtype=torch.float64)"
118,"tensor(12.3196, dtype=torch.float64)","tensor(16.3099, dtype=torch.float64)"
119,"tensor(16.2398, dtype=torch.float64)","tensor(20.2253, dtype=torch.float64)"
120,"tensor(18.7172, dtype=torch.float64)","tensor(23.7383, dtype=torch.float64)"
121,"tensor(20.3449, dtype=torch.float64)","tensor(33.6730, dtype=torch.float64)"
122,"tensor(17.8300, dtype=torch.float64)","tensor(20.5772, dtype=torch.float64)"
123,"tensor(11.5124, dtype=torch.float64)","tensor(15.7628, dtype=torch.float64)"
124,"tensor(13.3145, dtype=torch.float64)","tensor(21.8931, dtype=torch.float64)"
125,"tensor(26.9027, dtype=torch.float64)","tensor(30.1002, dtype=torch.float64)"
126,"tensor(14.4444, dtype=torch.float64)","tensor(22.7229, dtype=torch.float64)"
127,"tensor(14.9523, dtype=torch.float64)","tensor(18.3348, dtype=torch.float64)"
128,"tensor(11.2512, dtype=torch.float64)","tensor(16.4834, dtype=torch.float64)"
129,"tensor(20.5029, dtype=torch.float64)","tensor(29.9779, dtype=torch.float64)"
130,"tensor(18.7979, dtype=torch.float64)","tensor(26.6842, dtype=torch.float64)"
131,"tensor(13.4250, dtype=torch.float64)","tensor(16.4471, dtype=torch.float64)"
132,"tensor(20.6187, dtype=torch.float64)","tensor(33.8770, dtype=torch.float64)"
133,"tensor(22.9170, dtype=torch.float64)","tensor(25.7489, dtype=torch.float64)"
134,"tensor(22.7008, dtype=torch.float64)","tensor(30.7729, dtype=torch.float64)"
135,"tensor(19.3544, dtype=torch.float64)","tensor(22.9045, dtype=torch.float64)"
136,"tensor(12.8385, dtype=torch.float64)","tensor(17.6289, dtype=torch.float64)"
137,"tensor(10.8905, dtype=torch.float64)","tensor(16.1287, dtype=torch.float64)"
138,"tensor(10.8544, dtype=torch.float64)","tensor(16.6991, dtype=torch.float64)"
139,"tensor(8.6313, dtype=torch.float64)","tensor(14.2951, dtype=torch.float64)"
140,"tensor(14.9681, dtype=torch.float64)","tensor(23.0360, dtype=torch.float64)"
141,"tensor(16.9634, dtype=torch.float64)","tensor(24.9722, dtype=torch.float64)"
142,"tensor(15.2507, dtype=torch.float64)","tensor(21.3098, dtype=torch.float64)"
143,"tensor(24.0935, dtype=torch.float64)","tensor(31.2759, dtype=torch.float64)"
144,"tensor(17.3252, dtype=torch.float64)","tensor(26.1984, dtype=torch.float64)"
145,"tensor(12.3778, dtype=torch.float64)","tensor(16.4408, dtype=torch.float64)"
146,"tensor(20.5881, dtype=torch.float64)","tensor(24.5125, dtype=torch.float64)"
147,"tensor(12.8058, dtype=torch.float64)","tensor(22.2135, dtype=torch.float64)"
148,"tensor(20.8297, dtype=torch.float64)","tensor(34.5734, dtype=torch.float64)"
149,"tensor(10.9320, dtype=torch.float64)","tensor(15.5844, dtype=torch.float64)"
150,"tensor(26.1825, dtype=torch.float64)","tensor(31.1355, dtype=torch.float64)"
151,"tensor(26.7667, dtype=torch.float64)","tensor(35.3547, dtype=torch.float64)"
152,"tensor(14.5176, dtype=torch.float64)","tensor(18.9829, dtype=torch.float64)"
153,"tensor(10.4339, dtype=torch.float64)","tensor(16.5016, dtype=torch.float64)"
154,"tensor(12.1933, dtype=torch.float64)","tensor(14.7610, dtype=torch.float64)"
155,"tensor(22.5365, dtype=torch.float64)","tensor(28.3694, dtype=torch.float64)"
156,"tensor(14.0199, dtype=torch.float64)","tensor(17.0335, dtype=torch.float64)"
157,"tensor(10.4799, dtype=torch.float64)","tensor(16.5597, dtype=torch.float64)"
158,"tensor(32.4393, dtype=torch.float64)","tensor(40.3266, dtype=torch.float64)"
159,"tensor(13.7182, dtype=torch.float64)","tensor(17.7270, dtype=torch.float64)"
160,"tensor(15.0666, dtype=torch.float64)","tensor(19.9843, dtype=torch.float64)"
161,"tensor(18.5226, dtype=torch.float64)","tensor(27.6385, dtype=torch.float64)"
162,"tensor(10.1735, dtype=torch.float64)","tensor(18.8780, dtype=torch.float64)"
163,"tensor(14.0320, dtype=torch.float64)","tensor(25.7244, dtype=torch.float64)"
164,"tensor(27.7625, dtype=torch.float64)","tensor(32.2198, dtype=torch.float64)"
165,"tensor(19.8014, dtype=torch.float64)","tensor(26.8811, dtype=torch.float64)"
166,"tensor(30.7168, dtype=torch.float64)","tensor(50.6461, dtype=torch.float64)"
167,"tensor(40.9868, dtype=torch.float64)","tensor(51.0097, dtype=torch.float64)"
168,"tensor(17.0482, dtype=torch.float64)","tensor(19.6245, dtype=torch.float64)"
169,"tensor(9.6920, dtype=torch.float64)","tensor(17.5469, dtype=torch.float64)"
170,"tensor(27.0797, dtype=torch.float64)","tensor(36.5358, dtype=torch.float64)"
171,"tensor(19.6096, dtype=torch.float64)","tensor(24.7213, dtype=torch.float64)"
172,"tensor(9.8505, dtype=torch.float64)","tensor(16.5268, dtype=torch.float64)"
173,"tensor(15.3451, dtype=torch.float64)","tensor(20.3821, dtype=torch.float64)"
174,"tensor(8.5878, dtype=torch.float64)","tensor(12.4166, dtype=torch.float64)"
