Epoch,Train_Loss,Val_MAE,Learning_Rate
1,387.808542,291.272369,0.0000001000
2,387.007958,294.608917,0.0000001000
3,365.366779,377.381958,0.0000001000
4,339.309944,248.943329,0.0000001000
5,279.392835,147.260330,0.0000001000
6,257.583526,93.099709,0.0000001000
7,249.550081,95.562073,0.0000001000
8,246.843337,258.877167,0.0000001000
9,232.943156,104.821793,0.0000001000
10,238.094147,88.005096,0.0000001000
11,227.818125,130.298538,0.0000001000
12,223.885851,208.381958,0.0000001000
13,218.606189,184.511292,0.0000001000
14,214.362302,149.616852,0.0000001000
15,216.229252,150.013809,0.0000001000
16,212.109245,102.620827,0.0000001000
17,206.866392,94.741570,0.0000001000
18,209.057913,82.564934,0.0000001000
19,208.472381,130.508102,0.0000001000
20,201.138954,101.958588,0.0000001000
21,202.225772,75.839752,0.0000001000
22,194.712371,79.678078,0.0000001000
23,192.374691,77.010582,0.0000001000
24,193.473845,144.202164,0.0000001000
25,183.765388,73.650879,0.0000001000
26,185.848170,82.429741,0.0000001000
27,179.058647,81.008644,0.0000001000
28,184.470784,78.928703,0.0000001000
29,172.593340,75.698837,0.0000001000
30,175.277336,72.824097,0.0000001000
31,162.815903,77.680786,0.0000001000
32,164.365828,84.181290,0.0000001000
33,156.291784,90.083633,0.0000001000
34,161.505076,89.283966,0.0000001000
35,145.268728,92.220459,0.0000001000
36,133.177313,87.047577,0.0000001000
37,128.310420,76.902229,0.0000001000
38,113.171970,72.866615,0.0000001000
39,100.292740,258.123383,0.0000001000
40,101.956956,73.880173,0.0000001000
41,85.766023,88.470718,0.0000001000
42,77.381891,80.040016,0.0000001000
43,80.222913,75.953072,0.0000001000
44,67.221203,71.226036,0.0000001000
45,60.243128,77.722260,0.0000001000
46,62.911330,78.578415,0.0000001000
47,59.183883,71.360634,0.0000001000
48,56.807714,72.308708,0.0000001000
49,51.189644,75.643921,0.0000001000
50,49.089552,79.340096,0.0000001000
51,75.233196,71.660477,0.0000001000
52,46.863178,71.734962,0.0000001000
53,47.120218,72.918289,0.0000001000
54,41.795756,72.196808,0.0000001000
55,38.344110,74.302872,0.0000001000
56,36.601657,82.196564,0.0000001000
57,36.485118,76.509766,0.0000001000
58,35.304067,75.753326,0.0000001000
59,35.980035,76.893974,0.0000001000
60,34.290458,72.784462,0.0000001000
61,31.997166,75.890884,0.0000001000
62,31.678977,78.231567,0.0000001000
63,31.210203,75.793655,0.0000001000
64,31.499317,69.605774,0.0000001000
65,28.356279,72.170456,0.0000001000
66,29.103192,77.084435,0.0000001000
67,31.777270,73.750824,0.0000001000
68,27.862243,73.348518,0.0000001000
69,32.031489,73.400513,0.0000001000
70,26.017975,74.226791,0.0000001000
71,25.630540,76.871246,0.0000001000
72,24.646997,71.808540,0.0000001000
73,24.100645,75.905556,0.0000001000
74,23.405811,71.069191,0.0000001000
75,22.842388,73.186218,0.0000001000
76,22.582768,77.911621,0.0000001000
77,22.432126,71.958412,0.0000001000
78,23.519989,74.822876,0.0000001000
79,22.687320,71.661110,0.0000001000
80,23.631851,71.075638,0.0000001000
81,21.255198,79.360588,0.0000001000
82,21.251152,72.827324,0.0000001000
83,20.459982,77.258339,0.0000001000
84,22.308063,101.447578,0.0000001000
