Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
--------------------------------------------------
Epoch   1: MAE= 303.8, MSE= 369.8, Loss=0.00008121
Epoch   2: MAE= 300.0, MSE= 367.8, Loss=0.00008111
Epoch   3: MAE= 340.5, MSE= 392.4, Loss=0.00007798
Epoch   4: MAE= 195.5, MSE= 290.1, Loss=0.00004810
Epoch   5: MAE= 158.8, MSE= 234.4, Loss=0.00004644
Epoch   6: MAE= 280.0, MSE= 403.4, Loss=0.00004455
Epoch   7: MAE= 160.2, MSE= 242.5, Loss=0.00004201
Epoch   8: MAE= 240.8, MSE= 326.9, Loss=0.00004321
Epoch   9: MAE= 130.6, MSE= 202.4, Loss=0.00003942
Epoch  10: MAE= 125.8, MSE= 185.8, Loss=0.00003622
Epoch  11: MAE= 173.6, MSE= 261.8, Loss=0.00003517
Epoch  12: MAE= 215.3, MSE= 289.1, Loss=0.00003546
Epoch  13: MAE= 132.6, MSE= 213.3, Loss=0.00003121
Epoch  14: MAE= 142.6, MSE= 192.4, Loss=0.00003194
Epoch  15: MAE= 119.2, MSE= 186.0, Loss=0.00003062
Epoch  16: MAE= 125.3, MSE= 186.6, Loss=0.00003030
Epoch  17: MAE= 160.6, MSE= 211.5, Loss=0.00003186
Epoch  18: MAE= 111.9, MSE= 185.1, Loss=0.00002802
Epoch  19: MAE= 144.5, MSE= 195.9, Loss=0.00002765
Epoch  20: MAE= 102.4, MSE= 157.4, Loss=0.00002722
Epoch  21: MAE= 108.7, MSE= 179.8, Loss=0.00002610
Epoch  22: MAE= 107.3, MSE= 170.4, Loss=0.00002662
Epoch  23: MAE= 101.6, MSE= 164.5, Loss=0.00002665
Epoch  24: MAE= 107.8, MSE= 179.4, Loss=0.00002664
Epoch  25: MAE= 253.5, MSE= 338.3, Loss=0.00002702
Epoch  26: MAE= 105.4, MSE= 174.3, Loss=0.00002625
Epoch  27: MAE= 132.6, MSE= 181.6, Loss=0.00002683
Epoch  28: MAE= 106.7, MSE= 178.3, Loss=0.00002612
Epoch  29: MAE= 157.5, MSE= 217.5, Loss=0.00002907
Epoch  30: MAE= 184.1, MSE= 241.9, Loss=0.00002737
Epoch  31: MAE= 111.2, MSE= 162.5, Loss=0.00002596
Epoch  32: MAE=  95.6, MSE= 151.5, Loss=0.00002721
Epoch  33: MAE=  94.7, MSE= 150.5, Loss=0.00002591
Epoch  34: MAE= 158.8, MSE= 208.7, Loss=0.00002847
Epoch  35: MAE= 100.2, MSE= 166.8, Loss=0.00002572
Epoch  36: MAE=  93.6, MSE= 145.3, Loss=0.00002614
Epoch  37: MAE=  95.7, MSE= 157.1, Loss=0.00002640
Epoch  38: MAE= 104.2, MSE= 168.4, Loss=0.00002685
Epoch  39: MAE= 103.4, MSE= 152.3, Loss=0.00002798
Epoch  40: MAE= 120.6, MSE= 170.1, Loss=0.00002881
Epoch  41: MAE= 113.3, MSE= 175.7, Loss=0.00002723
Epoch  42: MAE=  97.9, MSE= 144.3, Loss=0.00002783
Epoch  43: MAE=  86.1, MSE= 137.9, Loss=0.00002744
Epoch  44: MAE=  95.2, MSE= 149.7, Loss=0.00002701
Epoch  45: MAE= 102.0, MSE= 157.8, Loss=0.00002840
Epoch  46: MAE=  97.4, MSE= 155.7, Loss=0.00002790
Epoch  47: MAE= 118.9, MSE= 178.8, Loss=0.00002722
Epoch  48: MAE=  89.2, MSE= 135.1, Loss=0.00002799
Epoch  49: MAE= 100.6, MSE= 155.4, Loss=0.00002805
Epoch  50: MAE= 101.3, MSE= 148.5, Loss=0.00002904
Epoch  51: MAE=  85.0, MSE= 133.8, Loss=0.00002760
Epoch  52: MAE= 100.3, MSE= 148.9, Loss=0.00003071
Epoch  53: MAE=  90.7, MSE= 139.1, Loss=0.00002993
Epoch  54: MAE=  90.1, MSE= 141.9, Loss=0.00002845
Epoch  55: MAE=  97.8, MSE= 157.5, Loss=0.00002802
Epoch  56: MAE=  89.4, MSE= 139.5, Loss=0.00003112
Epoch  57: MAE=  92.2, MSE= 133.9, Loss=0.00003142
Epoch  58: MAE=  85.2, MSE= 132.5, Loss=0.00003056
Epoch  59: MAE= 100.7, MSE= 142.4, Loss=0.00003099
Epoch  60: MAE=  91.5, MSE= 148.1, Loss=0.00002954
Epoch  61: MAE=  80.4, MSE= 126.4, Loss=0.00003147
Epoch  62: MAE=  87.7, MSE= 142.5, Loss=0.00003027
Epoch  63: MAE=  86.0, MSE= 140.8, Loss=0.00003149
Epoch  64: MAE=  90.7, MSE= 148.8, Loss=0.00003090
Epoch  65: MAE=  88.2, MSE= 132.3, Loss=0.00003183
Epoch  66: MAE=  85.6, MSE= 130.1, Loss=0.00003290
Epoch  67: MAE= 102.6, MSE= 158.9, Loss=0.00003115
Epoch  68: MAE=  82.8, MSE= 127.8, Loss=0.00003172
Epoch  69: MAE=  98.7, MSE= 137.9, Loss=0.00003147
Epoch  70: MAE=  84.5, MSE= 128.7, Loss=0.00003327
Epoch  71: MAE=  80.8, MSE= 125.9, Loss=0.00003414
Epoch  72: MAE=  85.4, MSE= 127.9, Loss=0.00003472
Epoch  73: MAE=  85.4, MSE= 132.0, Loss=0.00003085
Epoch  74: MAE=  89.8, MSE= 141.9, Loss=0.00003277
Epoch  75: MAE= 144.6, MSE= 202.6, Loss=0.00003670
Epoch  76: MAE=  85.2, MSE= 133.5, Loss=0.00003243
Epoch  77: MAE=  79.7, MSE= 126.4, Loss=0.00003629
Epoch  78: MAE= 142.2, MSE= 197.0, Loss=0.00003832
Epoch  79: MAE=  79.3, MSE= 127.3, Loss=0.00003496
Epoch  80: MAE= 107.1, MSE= 168.3, Loss=0.00003292
Epoch  81: MAE=  79.5, MSE= 131.5, Loss=0.00003450
Epoch  82: MAE=  78.0, MSE= 125.7, Loss=0.00003549
Epoch  83: MAE=  79.8, MSE= 131.1, Loss=0.00003552
