Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
--------------------------------------------------
Epoch   1: MAE= 303.8, MSE= 369.8, Loss=0.00008456
Epoch   2: MAE= 300.1, MSE= 367.8, Loss=0.00008448
Epoch   3: MAE= 340.6, MSE= 392.4, Loss=0.00008134
Epoch   4: MAE= 199.3, MSE= 288.3, Loss=0.00005148
Epoch   5: MAE= 155.4, MSE= 232.9, Loss=0.00004977
Epoch   6: MAE= 258.3, MSE= 376.2, Loss=0.00004786
Epoch   7: MAE= 160.7, MSE= 241.5, Loss=0.00004532
Epoch   8: MAE= 229.9, MSE= 313.1, Loss=0.00004668
Epoch   9: MAE= 130.9, MSE= 201.0, Loss=0.00004319
Epoch  10: MAE= 127.3, MSE= 185.2, Loss=0.00003960
Epoch  11: MAE= 186.4, MSE= 273.7, Loss=0.00003862
Epoch  12: MAE= 249.0, MSE= 328.0, Loss=0.00003971
Epoch  13: MAE= 115.9, MSE= 188.3, Loss=0.00003460
Epoch  14: MAE= 131.3, MSE= 181.1, Loss=0.00003508
Epoch  15: MAE= 118.2, MSE= 182.5, Loss=0.00003399
Epoch  16: MAE= 121.2, MSE= 184.3, Loss=0.00003335
Epoch  17: MAE= 163.6, MSE= 215.4, Loss=0.00003412
Epoch  18: MAE= 105.3, MSE= 167.6, Loss=0.00003145
Epoch  19: MAE= 150.4, MSE= 200.1, Loss=0.00003028
Epoch  20: MAE= 102.7, MSE= 162.1, Loss=0.00003030
Epoch  21: MAE= 116.2, MSE= 190.7, Loss=0.00002939
Epoch  22: MAE= 107.8, MSE= 167.6, Loss=0.00002991
Epoch  23: MAE= 110.8, MSE= 177.4, Loss=0.00002988
Epoch  24: MAE= 120.9, MSE= 196.6, Loss=0.00003011
Epoch  25: MAE= 236.0, MSE= 316.8, Loss=0.00003002
Epoch  26: MAE= 122.6, MSE= 195.6, Loss=0.00002933
Epoch  27: MAE= 137.8, MSE= 188.8, Loss=0.00003035
Epoch  28: MAE= 101.9, MSE= 167.4, Loss=0.00002999
Epoch  29: MAE= 158.0, MSE= 219.5, Loss=0.00003254
Epoch  30: MAE= 182.0, MSE= 240.8, Loss=0.00003068
Epoch  31: MAE= 111.4, MSE= 163.8, Loss=0.00002966
Epoch  32: MAE=  99.9, MSE= 154.9, Loss=0.00003062
Epoch  33: MAE=  93.8, MSE= 149.9, Loss=0.00003000
Epoch  34: MAE= 182.9, MSE= 242.5, Loss=0.00003238
Epoch  35: MAE=  96.7, MSE= 159.4, Loss=0.00002937
Epoch  36: MAE=  96.9, MSE= 154.2, Loss=0.00002938
Epoch  37: MAE=  97.5, MSE= 160.0, Loss=0.00003039
Epoch  38: MAE= 112.2, MSE= 179.4, Loss=0.00002994
Epoch  39: MAE= 112.1, MSE= 162.4, Loss=0.00003224
Epoch  40: MAE= 124.1, MSE= 179.8, Loss=0.00003322
Epoch  41: MAE= 111.0, MSE= 178.9, Loss=0.00002983
Epoch  42: MAE= 109.6, MSE= 161.8, Loss=0.00003094
Epoch  43: MAE=  91.8, MSE= 144.5, Loss=0.00003098
Epoch  44: MAE= 113.7, MSE= 168.2, Loss=0.00003194
Epoch  45: MAE=  93.4, MSE= 145.2, Loss=0.00003302
Epoch  46: MAE=  90.9, MSE= 137.8, Loss=0.00003219
Epoch  47: MAE= 112.5, MSE= 169.2, Loss=0.00003080
Epoch  48: MAE=  90.9, MSE= 139.7, Loss=0.00003157
Epoch  49: MAE=  92.0, MSE= 140.5, Loss=0.00003171
Epoch  50: MAE=  89.2, MSE= 134.2, Loss=0.00003285
Epoch  51: MAE=  84.7, MSE= 129.9, Loss=0.00003261
Epoch  52: MAE=  94.5, MSE= 140.3, Loss=0.00003294
Epoch  53: MAE=  90.8, MSE= 137.2, Loss=0.00003450
Epoch  54: MAE=  95.0, MSE= 142.5, Loss=0.00003284
Epoch  55: MAE=  92.3, MSE= 147.2, Loss=0.00003228
Epoch  56: MAE=  88.1, MSE= 135.3, Loss=0.00003500
Epoch  57: MAE=  87.9, MSE= 139.9, Loss=0.00003320
Epoch  58: MAE=  86.1, MSE= 130.1, Loss=0.00003561
Epoch  59: MAE=  94.8, MSE= 138.1, Loss=0.00003473
Epoch  60: MAE=  92.4, MSE= 149.8, Loss=0.00003200
Epoch  61: MAE=  87.2, MSE= 138.0, Loss=0.00003344
Epoch  62: MAE=  89.2, MSE= 141.8, Loss=0.00003537
Epoch  63: MAE= 105.3, MSE= 164.1, Loss=0.00003374
Epoch  64: MAE=  84.8, MSE= 137.3, Loss=0.00003426
Epoch  65: MAE=  93.6, MSE= 139.1, Loss=0.00003562
Epoch  66: MAE=  85.1, MSE= 132.6, Loss=0.00003710
Epoch  67: MAE= 109.7, MSE= 172.8, Loss=0.00003584
Epoch  68: MAE=  94.8, MSE= 136.7, Loss=0.00003625
Epoch  69: MAE= 135.0, MSE= 176.7, Loss=0.00003604
Epoch  70: MAE=  86.7, MSE= 136.4, Loss=0.00003548
Epoch  71: MAE=  94.0, MSE= 144.9, Loss=0.00003573
