Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
--------------------------------------------------
Epoch   1: MAE=  71.8, MSE=  95.2, Loss=0.00007409
Epoch   2: MAE=  76.0, MSE=  96.4, Loss=0.00007390
Epoch   3: MAE=  73.7, MSE=  95.4, Loss=0.00007371
Epoch   4: MAE=  71.6, MSE=  95.2, Loss=0.00007336
Epoch   5: MAE=  66.0, MSE=  82.2, Loss=0.00003965
Epoch   6: MAE=  50.5, MSE=  73.1, Loss=0.00003458
Epoch   7: MAE=  44.0, MSE=  68.9, Loss=0.00002912
Epoch   8: MAE=  69.6, MSE= 101.9, Loss=0.00002615
Epoch   9: MAE=  30.1, MSE=  44.6, Loss=0.00002463
Epoch  10: MAE=  29.0, MSE=  42.6, Loss=0.00002334
Epoch  11: MAE=  56.7, MSE=  81.6, Loss=0.00002216
Epoch  12: MAE=  35.2, MSE=  61.4, Loss=0.00002205
Epoch  13: MAE=  23.6, MSE=  39.1, Loss=0.00002065
Epoch  14: MAE=  33.5, MSE=  45.1, Loss=0.00001945
Epoch  15: MAE=  22.1, MSE=  38.7, Loss=0.00001894
Epoch  16: MAE=  20.7, MSE=  38.2, Loss=0.00001857
Epoch  17: MAE=  20.3, MSE=  35.7, Loss=0.00001836
Epoch  18: MAE=  28.6, MSE=  48.2, Loss=0.00001733
Epoch  19: MAE=  23.1, MSE=  42.8, Loss=0.00001683
Epoch  20: MAE=  19.7, MSE=  34.3, Loss=0.00001542
Epoch  21: MAE=  27.5, MSE=  46.6, Loss=0.00001419
Epoch  22: MAE=  28.8, MSE=  44.6, Loss=0.00001407
Epoch  23: MAE=  20.8, MSE=  31.0, Loss=0.00001331
Epoch  24: MAE=  16.1, MSE=  29.4, Loss=0.00001301
Epoch  25: MAE=  17.0, MSE=  32.4, Loss=0.00001306
Epoch  26: MAE=  15.9, MSE=  29.9, Loss=0.00001265
Epoch  27: MAE=  15.6, MSE=  27.0, Loss=0.00001278
Epoch  28: MAE=  23.6, MSE=  32.5, Loss=0.00001257
Epoch  29: MAE=  19.0, MSE=  28.5, Loss=0.00001232
Epoch  30: MAE=  20.7, MSE=  32.6, Loss=0.00001228
Epoch  31: MAE=  14.4, MSE=  22.2, Loss=0.00001236
Epoch  32: MAE=  15.1, MSE=  25.9, Loss=0.00001215
Epoch  33: MAE=  15.6, MSE=  27.5, Loss=0.00001216
Epoch  34: MAE=  28.0, MSE=  37.5, Loss=0.00001228
Epoch  35: MAE=  15.1, MSE=  21.7, Loss=0.00001198
Epoch  36: MAE=  16.3, MSE=  27.5, Loss=0.00001191
Epoch  37: MAE=  22.4, MSE=  33.5, Loss=0.00001200
Epoch  38: MAE=  35.9, MSE=  52.6, Loss=0.00001240
Epoch  39: MAE=  12.9, MSE=  20.1, Loss=0.00001225
Epoch  40: MAE=  12.3, MSE=  19.2, Loss=0.00001199
Epoch  41: MAE=  15.7, MSE=  22.7, Loss=0.00001230
Epoch  42: MAE=  18.4, MSE=  27.1, Loss=0.00001221
Epoch  43: MAE=  12.3, MSE=  19.2, Loss=0.00001193
Epoch  44: MAE=  31.5, MSE=  46.8, Loss=0.00001220
Epoch  45: MAE=  27.5, MSE=  39.4, Loss=0.00001207
