Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
--------------------------------------------------
Epoch   1: MAE=  71.8, MSE=  95.2, Loss=0.00007455
Epoch   2: MAE=  76.0, MSE=  96.4, Loss=0.00007436
Epoch   3: MAE=  73.8, MSE=  95.4, Loss=0.00007417
Epoch   4: MAE=  71.6, MSE=  95.2, Loss=0.00007382
Epoch   5: MAE=  71.2, MSE=  86.6, Loss=0.00004027
Epoch   6: MAE=  51.8, MSE=  73.6, Loss=0.00003496
Epoch   7: MAE=  43.5, MSE=  66.7, Loss=0.00002955
Epoch   8: MAE=  65.7, MSE=  97.6, Loss=0.00002659
Epoch   9: MAE=  27.8, MSE=  43.8, Loss=0.00002485
Epoch  10: MAE=  28.3, MSE=  42.0, Loss=0.00002367
Epoch  11: MAE=  52.8, MSE=  78.0, Loss=0.00002266
Epoch  12: MAE=  41.2, MSE=  66.3, Loss=0.00002250
Epoch  13: MAE=  21.9, MSE=  38.8, Loss=0.00002106
Epoch  14: MAE=  27.6, MSE=  39.9, Loss=0.00002032
Epoch  15: MAE=  23.1, MSE=  38.1, Loss=0.00001937
Epoch  16: MAE=  21.8, MSE=  39.6, Loss=0.00001895
Epoch  17: MAE=  20.8, MSE=  34.9, Loss=0.00001879
Epoch  18: MAE=  28.1, MSE=  47.4, Loss=0.00001842
Epoch  19: MAE=  21.5, MSE=  39.6, Loss=0.00001754
Epoch  20: MAE=  18.8, MSE=  31.6, Loss=0.00001646
Epoch  21: MAE=  26.9, MSE=  45.5, Loss=0.00001515
Epoch  22: MAE=  30.1, MSE=  45.5, Loss=0.00001429
Epoch  23: MAE=  20.4, MSE=  30.5, Loss=0.00001379
Epoch  24: MAE=  16.3, MSE=  29.5, Loss=0.00001346
Epoch  25: MAE=  14.9, MSE=  27.6, Loss=0.00001340
Epoch  26: MAE=  16.1, MSE=  30.1, Loss=0.00001316
Epoch  27: MAE=  15.4, MSE=  24.8, Loss=0.00001294
Epoch  28: MAE=  20.0, MSE=  28.9, Loss=0.00001279
Epoch  29: MAE=  16.8, MSE=  25.7, Loss=0.00001296
Epoch  30: MAE=  20.3, MSE=  31.1, Loss=0.00001279
Epoch  31: MAE=  14.2, MSE=  21.7, Loss=0.00001267
Epoch  32: MAE=  13.4, MSE=  23.1, Loss=0.00001244
Epoch  33: MAE=  15.7, MSE=  27.5, Loss=0.00001256
Epoch  34: MAE=  18.2, MSE=  26.7, Loss=0.00001265
Epoch  35: MAE=  13.0, MSE=  20.3, Loss=0.00001232
Epoch  36: MAE=  22.2, MSE=  33.0, Loss=0.00001247
Epoch  37: MAE=  23.4, MSE=  34.8, Loss=0.00001248
Epoch  38: MAE=  41.9, MSE=  58.9, Loss=0.00001298
Epoch  39: MAE=  12.2, MSE=  19.2, Loss=0.00001248
Epoch  40: MAE=  12.2, MSE=  19.2, Loss=0.00001263
Epoch  41: MAE=  18.9, MSE=  27.2, Loss=0.00001264
Epoch  42: MAE=  17.0, MSE=  25.3, Loss=0.00001278
Epoch  43: MAE=  12.3, MSE=  20.7, Loss=0.00001246
Epoch  44: MAE=  20.4, MSE=  31.7, Loss=0.00001230
